RegisterName,MSBit,LSBit,RegisterFiled,Comments,T_TX_GTM,T_RX_GTM,T_TX_A_P,T_RX_A,T_TX_A_106_P,T_RX_A_106,T_TX_A_212,T_RX_A_212,T_TX_A_424,T_RX_A_424,T_TX_A_848,T_RX_A_848,T_TX_F_P,T_RX_F,T_TX_F_212_P,T_RX_F_212,T_TX_F_424_P,T_RX_F_424,T_TX_ACT,T_RX_ACT,T_TX_A_106_ACT,T_RX_A_106_ACT,T_TX_F_212_ACT,T_RX_F_212_ACT,T_TX_F_424_ACT,T_RX_F_424_ACT,T_TX_B,T_RX_B,T_TX_B_106,T_RX_B_106,T_TX_B_212,T_RX_B_212,T_TX_B_424,T_RX_B_424,T_TX_B_848,T_RX_B_848,""
CLIF_ANA_RX_REG,"","","","","",0390A3,"","","",0390A3,"",0390A3,"",0390A3,"",0390AF,"",0390A3,"","","","","","","","","","","","","",0390A3,"","","","","","","","",""
"",7,7,USE_SMALL_EVAL,"","",0,"",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",6,5,COLL_LEVEL,"","",0,"",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",4,4,PRE_FILTER,"","",0,"",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",3,3,RECT_FILTER,"","",0,"",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",2,2,SYNC_HIGH,"","",1,"",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",1,1,FSK,"","",0,"",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",0,0,BPSK,"","",1,"",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
CLIF_BBA_CONTROL_REG,"","","","","",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","","","","","","","",341,"","","","","","","","",""
"",31,11,RESERVED,"","",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","","","","","","","",0,"","","","","","","","",""
"",10,9,CM_BBA_CTRL_FREEZE_MODE,"","",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","","","","","","","",1,"","","","","","","","",""
"",8,8,CM_BBA_CTRL_WATCH_DOG_ENABLE,"","",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","","","","","","","",1,"","","","","","","","",""
"",7,7,CM_BBA_CTRL_HYST2_DOWN,"","",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","","","","","","","",0,"","","","","","","","",""
"",6,5,CM_BBA_CTRL_HYST2_UP,"","",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","","","","","","","",2,"","","","","","","","",""
"",4,4,CM_BBA_CTRL_HYST1_DOWN,"","",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","","","","","","","",0,"","","","","","","","",""
"",3,1,CM_BBA_CTRL_HYST1_UP,"","",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","","","","","","","",0,"","","","","","","","",""
"",0,0,CM_BBA_CTRL_ENABLE,"","",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","","","","","","","",1,"","","","","","","","",""
CLIF_TRANSCEIVE_CONTROL_REG,"","","","",07200,"","","",07202,"",07202,"",07202,"",07202,"",0,"","","","","","","",035002,"",030000,"",030000,"","","","","","","","","","","",""
"",31,30,RESERVED,"",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",29,24,STATE_TRIGGER_SELECT,"",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",23,18,RESERVED,"",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","",0,"",0,"",0,"","","","","","","","","","","",""
"",17,17,TX_WAIT_RFON_ENABLE,"",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","",1,"",1,"",1,"","","","","","","","","","","",""
"",16,16,RX_WAIT_RFON_ENABLE,"",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","",1,"",1,"",1,"","","","","","","","","","","",""
